"DATE"|"CODE"|"STATION"|"SHORT_WAVE_FROM_SKY (W/m2 min)"|"SHORT_WAVE_REFLECTED(W/m2 min)"|"SHORT_WAVE_GLOBAL (W/m2 min)"|"IR_FROM_SKY_AVG (W/m2 min)"|"IR_FROM_EARTH_AVG (W/m2 min)"|"NET_RADIATION_AVG (W/m2 min)"
"2023:06:17 23:20"|"6434"|"MELLE"|0|0||352.7|383.1|-32.1
"2023:06:17 23:30"|"6434"|"MELLE"|0|0||356.6|383|-28
"2023:06:17 23:40"|"6434"|"MELLE"|0|0||361.5|383.8|-23.7
"2023:06:17 23:50"|"6434"|"MELLE"|0|0||364.8|386.7|-23.3
"2023:06:18 00:00"|"6434"|"MELLE"|0|0||364.7|390.3|-27.1
"2023:06:18 00:10"|"6434"|"MELLE"|0|0||353.4|387.4|-36.2
"2023:06:18 00:20"|"6434"|"MELLE"|0|0||340.6|380.2|-42.1
"2023:06:18 00:30"|"6434"|"MELLE"|0|0||338.8|376.4|-40.4
"2023:06:18 00:40"|"6434"|"MELLE"|0|0||338.6|374.2|-37.9
"2023:06:18 00:50"|"6434"|"MELLE"|0|0||338.6|377.3|-40.9
"2023:06:18 01:00"|"6434"|"MELLE"|0|0||342.1|375.9|-36
"2023:06:18 01:10"|"6434"|"MELLE"|0|0||344.7|377|-34.1
"2023:06:18 01:20"|"6434"|"MELLE"|0|0||342.1|379|-39.1
"2023:06:18 01:30"|"6434"|"MELLE"|0|0||340.6|375.8|-37.6
"2023:06:18 01:40"|"6434"|"MELLE"|0|0||338.8|374|-37.5
"2023:06:18 01:50"|"6434"|"MELLE"|0|0||338.5|373.6|-37.3
"2023:06:18 02:00"|"6434"|"MELLE"|0|0||338.7|373.6|-37
"2023:06:18 02:10"|"6434"|"MELLE"|0|0||339.1|376.7|-39.8
"2023:06:18 02:20"|"6434"|"MELLE"|0|0||338.2|379.8|-44.2
"2023:06:18 02:30"|"6434"|"MELLE"|0|0||340.3|376.6|-38.6
"2023:06:18 02:40"|"6434"|"MELLE"|0|0||346.1|376.2|-32
"2023:06:18 02:50"|"6434"|"MELLE"|0|0||352|377.9|-27.5
"2023:06:18 03:00"|"6434"|"MELLE"|0|0||358|379.6|-22.7
"2023:06:18 03:10"|"6434"|"MELLE"|0|0||360.5|382.1|-22.6
"2023:06:18 03:20"|"6434"|"MELLE"|0|0||370.2|385.5|-15.4
"2023:06:18 03:30"|"6434"|"MELLE"|0|0||385.6|391|-4.4
"2023:06:18 03:40"|"6434"|"MELLE"|0|0||390.9|395.2|-3.3
"2023:06:18 03:50"|"6434"|"MELLE"|0|0||388.9|395.7|-6.4
"2023:06:18 04:00"|"6434"|"MELLE"|0|0||397.6|397.3|-3.4
"2023:06:18 04:10"|"6434"|"MELLE"|0|0.9||406.4|396.4|1.2
"2023:06:18 04:20"|"6434"|"MELLE"|0|0||407.9|396.8|6.8
"2023:06:18 04:30"|"6434"|"MELLE"|0|0||408.4|397.5|7.2
"2023:06:18 04:40"|"6434"|"MELLE"|0|0||409.1|397.6|10.5
"2023:06:18 04:50"|"6434"|"MELLE"|4.9|2||406.2|397.4|11.8
"2023:06:18 05:00"|"6434"|"MELLE"|10.2|4||404.7|397.7|13.2
"2023:06:18 05:10"|"6434"|"MELLE"|20.8|4.1||407.3|399.4|24.6
"2023:06:18 05:20"|"6434"|"MELLE"|32.2|6||408.9|401.5|33.7
"2023:06:18 05:30"|"6434"|"MELLE"|39.3|7.6||409.5|402.9|38.4
"2023:06:18 05:40"|"6434"|"MELLE"|39.3|6.4||411|404|39.9
"2023:06:18 05:50"|"6434"|"MELLE"|33.8|6.2||412.7|405.1|35.2
"2023:06:18 06:00"|"6434"|"MELLE"|49.4|9.4||413.6|406.4|47.1
"2023:06:18 06:10"|"6434"|"MELLE"|77.8|14.6||414.9|409.9|68.1
"2023:06:18 06:20"|"6434"|"MELLE"|96|16.8||416|412.5|82.7
"2023:06:18 06:30"|"6434"|"MELLE"|116.9|20||419.7|414.8|101.8
"2023:06:18 06:40"|"6434"|"MELLE"|122.2|20.2||420.5|415.9|106.5
"2023:06:18 06:50"|"6434"|"MELLE"|103|16||419.8|414.6|92.1
"2023:06:18 07:00"|"6434"|"MELLE"|87.4|12.7||416.1|412.7|78.1
"2023:06:18 07:10"|"6434"|"MELLE"|77.3|10.7||393.8|411.9|48.5
"2023:06:18 07:20"|"6434"|"MELLE"|72.1|7.8||386.3|413.5|37.1
"2023:06:18 07:30"|"6434"|"MELLE"|57.4|6.1||398.4|413|36.7
"2023:06:18 07:40"|"6434"|"MELLE"|50.5|7.3||398.9|409.4|32.7
"2023:06:18 07:50"|"6434"|"MELLE"|51.2|8.9||400.5|408.7|34.1
"2023:06:18 08:00"|"6434"|"MELLE"|73.9|13.9||402.8|408.9|54
"2023:06:18 08:10"|"6434"|"MELLE"|128.9|25.6||406.7|410.7|99.3
"2023:06:18 08:20"|"6434"|"MELLE"|189.8|37.7||409.9|415|147
"2023:06:18 08:30"|"6434"|"MELLE"|204.3|40.1||410.5|417.3|157.4
"2023:06:18 08:40"|"6434"|"MELLE"|202.2|38.9||411|418.6|155.7
"2023:06:18 08:50"|"6434"|"MELLE"|198.4|36||413.4|420.7|155.2
"2023:06:18 09:00"|"6434"|"MELLE"|155.6|27||416.2|421|123.8
"2023:06:18 09:10"|"6434"|"MELLE"|149.8|25.5||418.5|422.2|120.7
"2023:06:18 09:20"|"6434"|"MELLE"|170.6|29.9||415.9|425.6|131.1
"2023:06:18 09:30"|"6434"|"MELLE"|194.5|34.8||412|427.2|144.4
"2023:06:18 09:40"|"6434"|"MELLE"|235.9|42.6||400.9|430.1|164.1
"2023:06:18 09:50"|"6434"|"MELLE"|269.5|47.3||392.3|435.5|179
"2023:06:18 10:00"|"6434"|"MELLE"|296.1|51.1||391.7|436|200.8
"2023:06:18 10:10"|"6434"|"MELLE"|328.9|57||395.5|440.3|227.2
"2023:06:18 10:20"|"6434"|"MELLE"|380.8|69.5||396.4|442.1|265.7
"2023:06:18 10:30"|"6434"|"MELLE"|376.9|68.7||396.5|444.2|260.6
"2023:06:18 10:40"|"6434"|"MELLE"|488.1|88.8||395.7|451.2|343.9
"2023:06:18 10:50"|"6434"|"MELLE"|527|94.8||394.7|453.4|373.5
"2023:06:18 11:00"|"6434"|"MELLE"|449.7|80.6||394.5|450.4|313.1
"2023:06:18 11:10"|"6434"|"MELLE"|456.5|83.3||394.2|452.2|315.1
"2023:06:18 11:20"|"6434"|"MELLE"|395.1|71.6||396.1|450.4|269.1
"2023:06:18 11:30"|"6434"|"MELLE"|282.2|50.5||399.6|443.3|188
"2023:06:18 11:40"|"6434"|"MELLE"|251.9|45.2||400.1|439.5|167.3
"2023:06:18 11:50"|"6434"|"MELLE"|247.6|43.6||401.3|440.7|164.6
"2023:06:18 12:00"|"6434"|"MELLE"|159.2|27.8||402.1|434.2|99.2
"2023:06:18 12:10"|"6434"|"MELLE"|409.6|76.6||404.7|447.6|290.1
"2023:06:18 12:20"|"6434"|"MELLE"|517.4|95.6||400.6|459.9|362.5
"2023:06:18 12:30"|"6434"|"MELLE"|786.1|146.3||387.3|472.6|554.4
"2023:06:18 12:40"|"6434"|"MELLE"|876.6|162.2||375.1|484.3|605.3
"2023:06:18 12:50"|"6434"|"MELLE"|813.3|150||380.1|489|554.4
"2023:06:18 13:00"|"6434"|"MELLE"|802.2|148.7||383.8|487.9|549.3
"2023:06:18 13:10"|"6434"|"MELLE"|809.4|152.1||381.2|489.5|549
"2023:06:18 13:20"|"6434"|"MELLE"|495.8|89.8||394.7|475.5|325.1
"2023:06:18 13:30"|"6434"|"MELLE"|458.4|86.7||412.4|469.3|314.8
"2023:06:18 13:40"|"6434"|"MELLE"|403.7|75.2||415.2|469.6|274.1
"2023:06:18 13:50"|"6434"|"MELLE"|467.2|88.6||413.9|473.1|319.4
"2023:06:18 14:00"|"6434"|"MELLE"|570.7|110.9||412.2|478.7|393.3
"2023:06:18 14:10"|"6434"|"MELLE"|793.8|160.7||406.5|495.6|544.1
"2023:06:18 14:20"|"6434"|"MELLE"|724.5|142.6||402.3|493.9|490.3
"2023:06:18 14:30"|"6434"|"MELLE"|743.2|148.1||395.7|496.3|494.5
"2023:06:18 14:40"|"6434"|"MELLE"|637.7|125.2||386.4|489.3|409.7
"2023:06:18 14:50"|"6434"|"MELLE"|624.1|123.1||382.5|486.4|397.1
"2023:06:18 15:00"|"6434"|"MELLE"|516.9|99.9||381.5|480.6|318
"2023:06:18 15:10"|"6434"|"MELLE"|513.5|100.7||384.4|477.2|319.9
"2023:06:18 15:20"|"6434"|"MELLE"|462.9|90.4||383.3|474.2|281.6
"2023:06:18 15:30"|"6434"|"MELLE"|325|58.7||388.1|466|188.3
"2023:06:18 15:40"|"6434"|"MELLE"|324.8|59.9||398.7|464|199.6
"2023:06:18 15:50"|"6434"|"MELLE"|319.7|59.7||395.3|462.1|193.2
"2023:06:18 16:00"|"6434"|"MELLE"|269.2|48.6||391.7|457.9|154.5
"2023:06:18 16:10"|"6434"|"MELLE"|206.9|34.9||397.9|454.2|115.8
"2023:06:18 16:20"|"6434"|"MELLE"|155.9|25||405.4|448.7|87.6
"2023:06:18 16:30"|"6434"|"MELLE"|103.5|15.7||408.3|442.7|53.3
"2023:06:18 16:40"|"6434"|"MELLE"|119.9|20.4||404.8|440.6|63.6
"2023:06:18 16:50"|"6434"|"MELLE"|179.5|32.8||388.5|444|91.3
"2023:06:18 17:00"|"6434"|"MELLE"|181.1|33.4||384.6|444|88.2
"2023:06:18 17:10"|"6434"|"MELLE"|173.2|31.9||380.4|442.5|79.2
"2023:06:18 17:20"|"6434"|"MELLE"|154|27.6||378.4|441.6|63.2
"2023:06:18 17:30"|"6434"|"MELLE"|128.2|22||380.7|439.5|47.4
"2023:06:18 17:40"|"6434"|"MELLE"|109.6|18.2||386.8|437.9|40.3
"2023:06:18 17:50"|"6434"|"MELLE"|86.8|13||397.8|436.9|34.6
"2023:06:18 18:00"|"6434"|"MELLE"|64.5|8.2||402|434.9|23.4
"2023:06:18 18:10"|"6434"|"MELLE"|34.1|1.8||403.7|431.6|4.4
"2023:06:18 18:20"|"6434"|"MELLE"|24.2|0||402.2|429.1|-2.2
"2023:06:18 18:30"|"6434"|"MELLE"|21|0||402.9|428.3|-3.4
"2023:06:18 18:40"|"6434"|"MELLE"|19.9|0||402.5|427.6|-3.5
"2023:06:18 18:50"|"6434"|"MELLE"|13.4|0||403.1|426.7|-7.1
"2023:06:18 19:00"|"6434"|"MELLE"|3.7|0||403.8|425.4|-13.4
"2023:06:18 19:10"|"6434"|"MELLE"|1.1|0||400.7|423.9|-17.2
"2023:06:18 19:20"|"6434"|"MELLE"|0|0||396.8|422.4|-22.1
"2023:06:18 19:30"|"6434"|"MELLE"|0|0||403.5|421.8|-17.1
"2023:06:18 19:40"|"6434"|"MELLE"|0|0||401.2|421.1|-19.8
"2023:06:18 19:50"|"6434"|"MELLE"|0|0||393.6|418.9|-26.1
"2023:06:18 20:00"|"6434"|"MELLE"|0|0||391.9|417.4|-26.7
"2023:06:18 20:10"|"6434"|"MELLE"|0|0||402|418.6|-17.6
"2023:06:18 20:20"|"6434"|"MELLE"|0|0||405.4|420.6|-16
"2023:06:18 20:30"|"6434"|"MELLE"|0|0||400.2|423|-23.8
"2023:06:18 20:40"|"6434"|"MELLE"|0|0||395.3|421.8|-28.1
"2023:06:18 20:50"|"6434"|"MELLE"|0|0||387.1|413.9|-29.4
"2023:06:18 21:00"|"6434"|"MELLE"|0|0||390.4|408.2|-21.8
"2023:06:18 21:10"|"6434"|"MELLE"|0|0||391.7|404.3|-17.1
"2023:06:18 21:20"|"6434"|"MELLE"|0|0||385|403|-22.8
"2023:06:18 21:30"|"6434"|"MELLE"|0|0||375.3|401.8|-31.4
"2023:06:18 21:40"|"6434"|"MELLE"|0|0||366.4|401.3|-38.9
"2023:06:18 21:50"|"6434"|"MELLE"|0|0||359.2|400.2|-44.8
"2023:06:18 22:00"|"6434"|"MELLE"|0|0||355.3|399.7|-47.7
"2023:06:18 22:10"|"6434"|"MELLE"|0|0||355.1|399.1|-47
"2023:06:18 22:20"|"6434"|"MELLE"|0|0||353.4|399.2|-48.5
"2023:06:18 22:30"|"6434"|"MELLE"|0|0||349.9|398.1|-50.9
"2023:06:18 22:40"|"6434"|"MELLE"|0|0||345.6|397.9|-55
"2023:06:18 22:50"|"6434"|"MELLE"|0|0||383.5|400.7|-18.3
"2023:06:18 23:00"|"6434"|"MELLE"|0|0||388.5|402|-14.3
"2023:06:18 23:10"|"6434"|"MELLE"|0|0||389.2|402.5|-14
"2023:06:18 23:20"|"6434"|"MELLE"|0|0||395.2|403.4|-8.7
"2023:06:18 23:30"|"6434"|"MELLE"|0|0||395.8|403.7|-8.4
"2023:06:18 23:40"|"6434"|"MELLE"|0|0||396.1|403.9|-8.5
"2023:06:18 23:50"|"6434"|"MELLE"|0|0||396.8|404.2|-7.9
"2023:06:19 00:00"|"6434"|"MELLE"|0|0||397.9|404.5|-7
"2023:06:19 00:10"|"6434"|"MELLE"|0|0||398.5|404.9|-6.8
"2023:06:19 00:20"|"6434"|"MELLE"|0|0||398.8|405.3|-7
"2023:06:19 00:30"|"6434"|"MELLE"|0|0||398.1|405.4|-8.4
"2023:06:19 00:40"|"6434"|"MELLE"|0|0||397.9|405.4|-8.3
"2023:06:19 00:50"|"6434"|"MELLE"|0|0||396.2|405.3|-9.9
"2023:06:19 01:00"|"6434"|"MELLE"|0|0||398.3|405.6|-7.9
"2023:06:19 01:10"|"6434"|"MELLE"|0|0||398.3|405.9|-8.2
"2023:06:19 01:20"|"6434"|"MELLE"|0|0||396.2|405.8|-10.4
"2023:06:19 01:30"|"6434"|"MELLE"|0|0||394.7|405.7|-11.9
"2023:06:19 01:40"|"6434"|"MELLE"|0|0||397.3|406|-9.3
"2023:06:19 01:50"|"6434"|"MELLE"|0|0||398.5|406.1|-8.2
"2023:06:19 02:00"|"6434"|"MELLE"|0|0||398.4|406|-8.2
"2023:06:19 02:10"|"6434"|"MELLE"|0|0||395.5|404.8|-9.9
"2023:06:19 02:20"|"6434"|"MELLE"|0|0||394.5|403.6|-9.8
"2023:06:19 02:30"|"6434"|"MELLE"|0|0||396|403.3|-8.2
"2023:06:19 02:40"|"6434"|"MELLE"|0|0||396.2|403|-8.3
"2023:06:19 02:50"|"6434"|"MELLE"|0|0||393.9|402.1|-9.2
"2023:06:19 03:00"|"6434"|"MELLE"|0|0||392.3|401.4|-9.7
"2023:06:19 03:10"|"6434"|"MELLE"|0|0||373.6|399.3|-26.8
"2023:06:19 03:20"|"6434"|"MELLE"|0|0||332.8|393.9|-63.6
"2023:06:19 03:30"|"6434"|"MELLE"|0|0||324.9|391.2|-68.2
"2023:06:19 03:40"|"6434"|"MELLE"|0|0||321.3|389|-67.4
"2023:06:19 03:50"|"6434"|"MELLE"|1.8|0||319.6|388.1|-64.1
"2023:06:19 04:00"|"6434"|"MELLE"|9.9|0||318.3|388.3|-59.5
"2023:06:19 04:10"|"6434"|"MELLE"|18.1|1.1||317.7|388.1|-53.3
"2023:06:19 04:20"|"6434"|"MELLE"|24.7|4.6||318.6|388.7|-50
"2023:06:19 04:30"|"6434"|"MELLE"|30.2|4.7||357.5|393.3|-10.3
"2023:06:19 04:40"|"6434"|"MELLE"|38.2|3.9||354.9|393.5|-4.4
"2023:06:19 04:50"|"6434"|"MELLE"|32|2.3||379.9|395.6|13.9
"2023:06:19 05:00"|"6434"|"MELLE"|47.5|5.6||372|395.2|18.6
"2023:06:19 05:10"|"6434"|"MELLE"|62.3|9.1||372.5|396.5|29.1
"2023:06:19 05:20"|"6434"|"MELLE"|65.7|9.1||374.6|398.9|32.3
"2023:06:19 05:30"|"6434"|"MELLE"|84.7|12.7||369.1|400.1|41
"2023:06:19 05:40"|"6434"|"MELLE"|92|14.5||377.7|401.8|53.5
"2023:06:19 05:50"|"6434"|"MELLE"|101.2|16.2||377.8|404.1|58.7
"2023:06:19 06:00"|"6434"|"MELLE"|123.6|21.7||379.3|405.1|76
"2023:06:19 06:10"|"6434"|"MELLE"|148.8|27.7||378.4|408.2|91.3
"2023:06:19 06:20"|"6434"|"MELLE"|214.1|44.7||374.5|411.7|132.1
"2023:06:19 06:30"|"6434"|"MELLE"|202.2|40.6||380.7|412.4|130
"2023:06:19 06:40"|"6434"|"MELLE"|178.1|33.7||386.3|414.8|115.9
"2023:06:19 06:50"|"6434"|"MELLE"|180.5|33.8||386.2|413.5|119.5
"2023:06:19 07:00"|"6434"|"MELLE"|204.6|39||384.7|416.4|134
"2023:06:19 07:10"|"6434"|"MELLE"|266.8|53||371.7|418.6|166.9
"2023:06:19 07:20"|"6434"|"MELLE"|254.3|48.7||371.4|420.5|156.5
"2023:06:19 07:30"|"6434"|"MELLE"|232.7|44.2||380|419.4|149.1
"2023:06:19 07:40"|"6434"|"MELLE"|362.9|74.3||368.2|429.9|226.9
"2023:06:19 07:50"|"6434"|"MELLE"|314.5|62.1||375.6|430.8|197.2
"2023:06:19 08:00"|"6434"|"MELLE"|286.7|56.6||388.8|431.6|187.4
"2023:06:19 08:10"|"6434"|"MELLE"|203.5|35.9||389.5|425|132
"2023:06:19 08:20"|"6434"|"MELLE"|232.6|43.8||387.1|423.7|152.2
"2023:06:19 08:30"|"6434"|"MELLE"|409.5|83.5||359|434|251
"2023:06:19 08:40"|"6434"|"MELLE"|492.6|101.7||344.9|438.2|297.5
"2023:06:19 08:50"|"6434"|"MELLE"|592.2|123||347.9|448.8|368.3
"2023:06:19 09:00"|"6434"|"MELLE"|693.1|145.2||354|458|443.9
"2023:06:19 09:10"|"6434"|"MELLE"|590.6|119.2||366|459.6|377.8
"2023:06:19 09:20"|"6434"|"MELLE"|452.8|87.8||361.7|451.4|275.4
"2023:06:19 09:30"|"6434"|"MELLE"|527.9|104.9||360.7|455|328.7
"2023:06:19 09:40"|"6434"|"MELLE"|629|126.4||360.8|464|399.4
"2023:06:19 09:50"|"6434"|"MELLE"|492.1|92.6||353.3|460.1|292.8
"2023:06:19 10:00"|"6434"|"MELLE"|638.4|124.4||344.3|463.2|395.1
"2023:06:19 10:10"|"6434"|"MELLE"|753.9|146.4||344.3|477.3|474.5
"2023:06:19 10:20"|"6434"|"MELLE"|812.1|158.3||350.3|485.7|518.4
"2023:06:19 10:30"|"6434"|"MELLE"|617|113.6||351.5|477.4|377.5
"2023:06:19 10:40"|"6434"|"MELLE"|816.4|159.1||362.4|487.6|532.1
"2023:06:19 10:50"|"6434"|"MELLE"|874.2|171.8||366.9|500.3|569
"2023:06:19 11:00"|"6434"|"MELLE"|831.5|161.2||369.6|499.3|540.6
"2023:06:19 11:10"|"6434"|"MELLE"|701.9|131.5||367.6|489.9|448.1
"2023:06:19 11:20"|"6434"|"MELLE"|820.6|158.4||374|493.6|542.6
"2023:06:19 11:30"|"6434"|"MELLE"|637.8|118.1||369.4|488.6|400.4
"2023:06:19 11:40"|"6434"|"MELLE"|770.4|147||366.9|489.8|500.5
"2023:06:19 11:50"|"6434"|"MELLE"|871|167.6||365.6|505|564.1
"2023:06:19 12:00"|"6434"|"MELLE"|651.7|119.5||364.2|489.2|407.3
"2023:06:19 12:10"|"6434"|"MELLE"|816.3|154.4||370|503.9|528
"2023:06:19 12:20"|"6434"|"MELLE"|893.8|170.8||370.4|512.5|580.9
"2023:06:19 12:30"|"6434"|"MELLE"|880.5|164.9||367.3|515.1|567.8
"2023:06:19 12:40"|"6434"|"MELLE"|834.3|154.8||366|512.6|532.9
"2023:06:19 12:50"|"6434"|"MELLE"|888.9|166.9||365.9|516.9|571
"2023:06:19 13:00"|"6434"|"MELLE"|871|162.4||363.9|516|556.5
"2023:06:19 13:10"|"6434"|"MELLE"|596.4|102.4||364.1|499.6|358.6
"2023:06:19 13:20"|"6434"|"MELLE"|865.6|164.3||372.2|513|560.5
"2023:06:19 13:30"|"6434"|"MELLE"|629.4|112||370.5|505.5|382.3
"2023:06:19 13:40"|"6434"|"MELLE"|640.4|118.8||382.2|493|410.8
"2023:06:19 13:50"|"6434"|"MELLE"|750.3|143.1||374.4|507.9|473.6
"2023:06:19 14:00"|"6434"|"MELLE"|589.1|108.4||371|496.4|355.3
"2023:06:19 14:10"|"6434"|"MELLE"|586.8|108.1||375.8|500.9|353.7
"2023:06:19 14:20"|"6434"|"MELLE"|512.8|95.4||367.3|481.5|303.2
"2023:06:19 14:30"|"6434"|"MELLE"|584.6|114||368.9|490.8|348.7
"2023:06:19 14:40"|"6434"|"MELLE"|606.9|119.4||372.6|495.4|364.8
"2023:06:19 14:50"|"6434"|"MELLE"|397.2|73.6||380.4|477.6|226.4
"2023:06:19 15:00"|"6434"|"MELLE"|520.1|102.7||393.1|486.8|323.8
"2023:06:19 15:10"|"6434"|"MELLE"|316.6|54.1||378.8|470.1|171.2
"2023:06:19 15:20"|"6434"|"MELLE"|557|113.8||377.4|484.8|335.7
"2023:06:19 15:30"|"6434"|"MELLE"|523.7|104.7||370.3|487.8|301.5
"2023:06:19 15:40"|"6434"|"MELLE"|497.7|96.6||380.6|487.5|294.4
"2023:06:19 15:50"|"6434"|"MELLE"|381.4|70.6||382.4|477.3|215.9
"2023:06:19 16:00"|"6434"|"MELLE"|277.6|47.7||378.7|465.1|143.5
"2023:06:19 16:10"|"6434"|"MELLE"|223.1|36||378.3|458.5|106.9
"2023:06:19 16:20"|"6434"|"MELLE"|201.4|31.9||383.2|455.5|97.1
"2023:06:19 16:30"|"6434"|"MELLE"|182.1|28.2||387.7|453.3|88.3
"2023:06:19 16:40"|"6434"|"MELLE"|168.6|26.7||390.5|449.7|82.7
"2023:06:19 16:50"|"6434"|"MELLE"|154.6|24.6||391.1|447.5|73.5
"2023:06:19 17:00"|"6434"|"MELLE"|155.1|25.1||391.3|447.5|73.8
"2023:06:19 17:10"|"6434"|"MELLE"|155.6|25.8||391.6|447.4|73.8
"2023:06:19 17:20"|"6434"|"MELLE"|156.8|26.3||391.5|447.5|74.6
"2023:06:19 17:30"|"6434"|"MELLE"|157.9|26.6||388.8|447|73.1
"2023:06:19 17:40"|"6434"|"MELLE"|148.2|24||384.1|445.5|62.7
"2023:06:19 17:50"|"6434"|"MELLE"|126.5|19||382.7|443.1|47.1
"2023:06:19 18:00"|"6434"|"MELLE"|102.6|14.1||383.1|440.4|31.3
"2023:06:19 18:10"|"6434"|"MELLE"|90.8|13.6||375|434.7|17.5
"2023:06:19 18:20"|"6434"|"MELLE"|72.6|8.3||370.1|432.1|2.3
"2023:06:19 18:30"|"6434"|"MELLE"|33.6|0||387.2|428.4|-6.4
"2023:06:19 18:40"|"6434"|"MELLE"|23.3|0||398.9|428|-2.8
"2023:06:19 18:50"|"6434"|"MELLE"|11.7|0||400|426.1|-9.1
"2023:06:19 19:00"|"6434"|"MELLE"|3.3|0||400.3|424.4|-13.5
"2023:06:19 19:10"|"6434"|"MELLE"|0.4|0||397.9|421.4|-14.8
"2023:06:19 19:20"|"6434"|"MELLE"|5.6|0||396.8|420.5|-11.2
"2023:06:19 19:30"|"6434"|"MELLE"|3.2|0||395.1|419.8|-13.7
"2023:06:19 19:40"|"6434"|"MELLE"|0|0||397.3|418.1|-16.6
"2023:06:19 19:50"|"6434"|"MELLE"|0|0||397.6|416.2|-17.1
"2023:06:19 20:00"|"6434"|"MELLE"|0|0||397.5|415.2|-17
"2023:06:19 20:10"|"6434"|"MELLE"|0|0||395.5|412.7|-17.5
"2023:06:19 20:20"|"6434"|"MELLE"|0|0||396.5|412.5|-16.5
"2023:06:19 20:30"|"6434"|"MELLE"|0|0||395.9|411.7|-16.9
"2023:06:19 20:40"|"6434"|"MELLE"|0|0||398.2|411.3|-15.4
"2023:06:19 20:50"|"6434"|"MELLE"|0|0||396.9|411.3|-18.4
"2023:06:19 21:00"|"6434"|"MELLE"|0|0||397.4|410.2|-15.9
"2023:06:19 21:10"|"6434"|"MELLE"|0|0||396.4|409.4|-14.8
"2023:06:19 21:20"|"6434"|"MELLE"|0|0||394.7|409.1|-15.4
"2023:06:19 21:30"|"6434"|"MELLE"|0|0||396.7|409.2|-13.8
"2023:06:19 21:40"|"6434"|"MELLE"|0|0||397.2|408|-13.6
"2023:06:19 21:50"|"6434"|"MELLE"|0|0||391.2|406.4|-19
"2023:06:19 22:00"|"6434"|"MELLE"|0|0||392.5|406.5|-17.9
"2023:06:19 22:10"|"6434"|"MELLE"|0|0||391.2|406.4|-17.4
"2023:06:19 22:20"|"6434"|"MELLE"|0|0||389.3|405.6|-17.9
"2023:06:19 22:30"|"6434"|"MELLE"|0|0||391.9|405.7|-14.5
"2023:06:19 22:40"|"6434"|"MELLE"|0|0||394.7|405.7|-12.2
"2023:06:19 22:50"|"6434"|"MELLE"|0|0||393|405.5|-13.9
"2023:06:19 23:00"|"6434"|"MELLE"|0|0||393.9|405.9|-12.2
"2023:06:19 23:10"|"6434"|"MELLE"|0|0||394.6|406.3|-12.9
"2023:06:19 23:20"|"6434"|"MELLE"|0|0||395.2|406.5|-12.3
"2023:06:19 23:30"|"6434"|"MELLE"|0|0||397.7|406.9|-9.9
"2023:06:19 23:40"|"6434"|"MELLE"|0|0||400.7|408.8|-8.5
"2023:06:19 23:50"|"6434"|"MELLE"|0|0||400.7|409.3|-8.6
"2023:06:20 00:00"|"6434"|"MELLE"|0|0||400.9|409|-10
"2023:06:20 00:10"|"6434"|"MELLE"|0|0||399.8|408.8|-12.2
"2023:06:20 00:20"|"6434"|"MELLE"|0|0||398.4|408.8|-11.5
"2023:06:20 00:30"|"6434"|"MELLE"|0|0||398.4|408.7|-11.2
"2023:06:20 00:40"|"6434"|"MELLE"|0|0||398.5|408.3|-10.2
"2023:06:20 00:50"|"6434"|"MELLE"|0|0||397.1|408.1|-11.7
"2023:06:20 01:00"|"6434"|"MELLE"|0|0||390.5|406.6|-16.8
"2023:06:20 01:10"|"6434"|"MELLE"|0|0||377.9|402.5|-25.6
"2023:06:20 01:20"|"6434"|"MELLE"|0|0||371.8|398.5|-28.8
"2023:06:20 01:30"|"6434"|"MELLE"|0|0||369|395.5|-28.2
"2023:06:20 01:40"|"6434"|"MELLE"|0|0||370.1|394.5|-25.7
"2023:06:20 01:50"|"6434"|"MELLE"|0|0||375.8|395.5|-21.2
"2023:06:20 02:00"|"6434"|"MELLE"|0|0||370.8|394.4|-24.9
"2023:06:20 02:10"|"6434"|"MELLE"|0|0||372.5|394.4|-23.9
"2023:06:20 02:20"|"6434"|"MELLE"|0|0||378.4|396.9|-20.1
"2023:06:20 02:30"|"6434"|"MELLE"|0|0||363.7|396.5|-35.3
"2023:06:20 02:40"|"6434"|"MELLE"|0|0||346.5|387.3|-44.1
"2023:06:20 02:50"|"6434"|"MELLE"|0|0||344.9|384.6|-42.8
"2023:06:20 03:00"|"6434"|"MELLE"|0|0||345.2|381.5|-39.1
"2023:06:20 03:10"|"6434"|"MELLE"|0|0||370.4|385.7|-16.4
"2023:06:20 03:20"|"6434"|"MELLE"|0|0||353.8|387.6|-35.5
"2023:06:20 03:30"|"6434"|"MELLE"|0|0||341|380.6|-40.8
"2023:06:20 03:40"|"6434"|"MELLE"|0|0||341.5|378.7|-35.5
"2023:06:20 03:50"|"6434"|"MELLE"|0|0||341.4|382|-34.4
"2023:06:20 04:00"|"6434"|"MELLE"|8.3|0||342.2|382.2|-26.3
"2023:06:20 04:10"|"6434"|"MELLE"|21|0||342.7|385|-18.6
"2023:06:20 04:20"|"6434"|"MELLE"|36.1|1.3||344.1|390.5|-11.6
"2023:06:20 04:30"|"6434"|"MELLE"|70.1|12.8||347.6|397.5|7.4
"2023:06:20 04:40"|"6434"|"MELLE"|88.8|18.4||350.3|404.8|15.9
"2023:06:20 04:50"|"6434"|"MELLE"|80.1|12.8||350.8|407.2|10.9
